,case_identifier,inputstate_2016,healthcov2_2,educ_2016,marstat_2016,faminc_2016,presvote16post_2016
2489,36655718,Ohio,,High school graduate,Widowed,"$20,000 - $29,999",Donald Trump
2490,36655922,New Hampshire,,No HS,Divorced,"$40,000 - $49,999",Other
2491,36656573,Iowa,,4-year,Single,"$50,000 - $59,999",Hillary Clinton
2492,36656711,California,,Some college,Single,"$70,000 - $79,999",Donald Trump
2493,36657218,Louisiana,,4-year,Divorced,"$30,000 - $39,999",Hillary Clinton
2494,36657719,Arkansas,,High school graduate,Widowed,"$20,000 - $29,999",Hillary Clinton
2495,36661367,Texas,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
2496,36661835,Wyoming,,High school graduate,Divorced,"$10,000 - $19,999",
2497,36663818,Oklahoma,,High school graduate,Divorced,"$20,000 - $29,999",Donald Trump
2498,36665327,Nevada,,Post-grad,Married,"$250,000 - $349,999",Donald Trump
2499,36666632,Florida,,4-year,Married,"$100,000 - $119,999",Donald Trump
2500,36666752,Arkansas,,High school graduate,Single,"$20,000 - $29,999",Donald Trump
2501,36667004,Oklahoma,,Some college,Married,"$100,000 - $119,999",Donald Trump
2502,36667232,Michigan,,High school graduate,Married,"$20,000 - $29,999",Donald Trump
2503,36668375,Kentucky,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
2504,36669005,West Virginia,,Some college,Married,"$30,000 - $39,999",Donald Trump
2505,36669392,Missouri,,2-year,Married,"$40,000 - $49,999",Donald Trump
2506,36670529,Indiana,,High school graduate,Domestic partnership,"$70,000 - $79,999",Hillary Clinton
2507,36671024,Georgia,,4-year,Single,"Less than $10,000",Hillary Clinton
2508,36671582,Massachusetts,,High school graduate,Widowed,"Less than $10,000",Hillary Clinton
2509,36671906,Missouri,,High school graduate,Married,"$100,000 - $119,999",Donald Trump
2510,36672851,North Carolina,,No HS,Single,"$50,000 - $59,999",
2511,36673244,North Dakota,,High school graduate,Married,"$60,000 - $69,999",Donald Trump
2512,36673718,Ohio,,4-year,Married,"$60,000 - $69,999",Hillary Clinton
2513,36674492,Michigan,,Post-grad,Married,"$500,000 or more",Donald Trump
2514,36678071,Louisiana,,High school graduate,Divorced,Prefer not to say,
2515,36678209,Connecticut,,High school graduate,Married,"$30,000 - $39,999",Hillary Clinton
2516,36678815,Texas,,Some college,Married,Prefer not to say,Hillary Clinton
2517,36679457,New York,,High school graduate,Divorced,"$10,000 - $19,999",Donald Trump
2518,36680720,Georgia,,High school graduate,Married,"$70,000 - $79,999",Donald Trump
2519,36682913,New York,,4-year,Married,"$150,000 - $199,999",Hillary Clinton
2520,36683297,Kentucky,,High school graduate,Married,"$40,000 - $49,999",Donald Trump
2521,36683459,New York,,Some college,Single,"$40,000 - $49,999",
2522,36685469,Pennsylvania,,High school graduate,Married,"$80,000 - $99,999",Donald Trump
2523,36686063,Delaware,,4-year,Married,"$40,000 - $49,999",Hillary Clinton
2524,36686495,Maryland,,Some college,Single,"$50,000 - $59,999",Donald Trump
2525,36686846,Michigan,,High school graduate,Married,"$30,000 - $39,999",
2526,36686849,Maryland,,Some college,Single,Prefer not to say,Donald Trump
2527,36687707,Kansas,,4-year,Married,"$40,000 - $49,999",Donald Trump
2528,36688694,Georgia,,Post-grad,Single,"$40,000 - $49,999",Hillary Clinton
2529,36689591,New York,,High school graduate,Married,"$80,000 - $99,999",Donald Trump
2530,36690680,Missouri,,Some college,Married,"$40,000 - $49,999",Donald Trump
2531,36690989,Maryland,,2-year,Divorced,"$100,000 - $119,999",Hillary Clinton
2532,36693473,Minnesota,,2-year,Married,"$80,000 - $99,999",Donald Trump
2533,36696467,Indiana,,2-year,Married,"$20,000 - $29,999",Donald Trump
2534,36696665,Texas,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
2535,36697862,Florida,,High school graduate,Widowed,"$30,000 - $39,999",Donald Trump
2536,36697976,Colorado,,High school graduate,Married,"$20,000 - $29,999",Donald Trump
2537,36699080,Alabama,,Some college,Married,"$40,000 - $49,999",Donald Trump
2538,36700454,Illinois,,High school graduate,Married,"$40,000 - $49,999",
2539,36701657,Idaho,,High school graduate,Married,"$30,000 - $39,999",Hillary Clinton
2540,36702407,Tennessee,,Some college,Single,"$30,000 - $39,999",Hillary Clinton
2541,36703388,Wisconsin,,High school graduate,Married,"$30,000 - $39,999",Hillary Clinton
2542,36705053,Pennsylvania,,High school graduate,Married,"$40,000 - $49,999",
2543,36705140,North Carolina,,Post-grad,Single,Prefer not to say,Hillary Clinton
2544,36706151,Maryland,,No HS,Single,"$20,000 - $29,999",Donald Trump
2545,36708494,Michigan,,High school graduate,Married,"$60,000 - $69,999",Hillary Clinton
2546,36710624,Ohio,,High school graduate,Widowed,Prefer not to say,Donald Trump
2547,36711791,New Mexico,,Some college,Married,"$40,000 - $49,999",Donald Trump
2548,36712889,Missouri,,High school graduate,Single,"$20,000 - $29,999",Donald Trump
2549,36714224,Illinois,,High school graduate,Separated,"$10,000 - $19,999",Hillary Clinton
2550,36715073,California,,Some college,Single,"$10,000 - $19,999",Hillary Clinton
2551,36715124,California,,2-year,Divorced,"$70,000 - $79,999",Hillary Clinton
2552,36715499,New York,,Post-grad,Married,"$200,000 - $249,999",Hillary Clinton
2553,36716267,Nebraska,,2-year,Married,"$40,000 - $49,999",Donald Trump
2554,36716759,Idaho,,2-year,Married,Prefer not to say,Donald Trump
2555,36716780,Michigan,,High school graduate,Married,"$80,000 - $99,999",Donald Trump
2556,36716903,North Carolina,,Some college,Married,"$20,000 - $29,999",Hillary Clinton
2557,36717950,Ohio,,High school graduate,Divorced,"$40,000 - $49,999",Donald Trump
2558,36718649,Utah,,Some college,Married,"$30,000 - $39,999",Gary Johnson
2559,36718967,Michigan,,High school graduate,Married,"$70,000 - $79,999",Donald Trump
2560,36719156,Illinois,,High school graduate,Married,"$80,000 - $99,999",Hillary Clinton
2561,36719387,Kansas,,Some college,Widowed,"$20,000 - $29,999",Hillary Clinton
2562,36719990,Virginia,,4-year,Widowed,"$150,000 - $199,999",Hillary Clinton
2563,36720071,Virginia,,Some college,Married,"$50,000 - $59,999",Donald Trump
2564,36721358,Alabama,,2-year,Married,"$50,000 - $59,999",Donald Trump
2565,36721778,Florida,,Some college,Divorced,"$70,000 - $79,999",Hillary Clinton
2566,36723473,Florida,,High school graduate,Married,"$120,000 - $149,999",Donald Trump
2567,36723881,Indiana,,High school graduate,Married,"$40,000 - $49,999",Donald Trump
2568,36724481,California,,High school graduate,Married,"$40,000 - $49,999",Donald Trump
2569,36725939,Florida,,High school graduate,Married,"$60,000 - $69,999",Hillary Clinton
2570,36727523,North Carolina,,4-year,Married,"$80,000 - $99,999",Gary Johnson
2571,36728021,Colorado,,Some college,Married,"$60,000 - $69,999",Donald Trump
2572,36728273,Maryland,,Post-grad,Single,"$80,000 - $99,999",Hillary Clinton
2573,36730406,Minnesota,,High school graduate,Single,"$30,000 - $39,999",Donald Trump
2574,36734336,South Dakota,,High school graduate,Widowed,"Less than $10,000",Hillary Clinton
2575,36734624,Nevada,,High school graduate,Single,"$50,000 - $59,999",Donald Trump
2576,36734705,Florida,,Post-grad,Widowed,"$30,000 - $39,999",Donald Trump
2577,36735299,Florida,,High school graduate,Married,"$50,000 - $59,999",
2578,36736439,Michigan,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
2579,36736502,Virginia,,High school graduate,Married,"$50,000 - $59,999",Donald Trump
2580,36736646,California,,High school graduate,Married,"$80,000 - $99,999",Hillary Clinton
2581,36737498,Ohio,,Some college,Divorced,"$20,000 - $29,999",
2582,36738170,Pennsylvania,,High school graduate,Widowed,"$20,000 - $29,999",Donald Trump
2583,36738845,Texas,,4-year,Married,"$120,000 - $149,999",Hillary Clinton
2584,36739199,Georgia,,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
2585,36740639,Indiana,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
2586,36743612,Michigan,,High school graduate,Separated,"$70,000 - $79,999",
2587,36746231,Texas,,4-year,Married,"$120,000 - $149,999",Donald Trump
2588,36747821,Texas,,4-year,Married,"$150,000 - $199,999",Jill Stein
2589,36750950,Kansas,,2-year,Married,"$60,000 - $69,999",Donald Trump
2590,36752633,Georgia,,High school graduate,Married,"$40,000 - $49,999",
2591,36756668,Maine,,High school graduate,Married,"$60,000 - $69,999",Hillary Clinton
2592,36756788,Texas,,Some college,Married,"$80,000 - $99,999",
2593,36758036,South Carolina,,Post-grad,Single,"$30,000 - $39,999",Hillary Clinton
2594,36760493,Indiana,,High school graduate,Single,"$30,000 - $39,999",Donald Trump
2595,36760958,Illinois,,High school graduate,Married,"$20,000 - $29,999",Donald Trump
2596,36761771,Ohio,,Some college,Married,"$70,000 - $79,999",Hillary Clinton
2597,36765170,Oregon,,High school graduate,Divorced,"$20,000 - $29,999",Gary Johnson
2598,36765329,Texas,,Some college,Married,"$80,000 - $99,999",Hillary Clinton
2599,36766706,Maryland,,4-year,Married,"$80,000 - $99,999",Donald Trump
2600,36770273,Tennessee,,Some college,Married,"$80,000 - $99,999",Hillary Clinton
2601,36771278,Florida,,High school graduate,Single,"$50,000 - $59,999",Donald Trump
2602,36773348,Virginia,,2-year,Single,"$80,000 - $99,999",Hillary Clinton
2603,36773396,Indiana,,Some college,Married,"$60,000 - $69,999",Hillary Clinton
2604,36775535,Minnesota,,High school graduate,Married,"$30,000 - $39,999",
2605,36778385,New Hampshire,,4-year,Married,"$120,000 - $149,999",Hillary Clinton
2606,36778841,Kansas,,Some college,Married,"$50,000 - $59,999",
2607,36778853,Florida,,High school graduate,Divorced,"$20,000 - $29,999",Hillary Clinton
2608,36779354,North Carolina,,4-year,Married,"$80,000 - $99,999",Donald Trump
2609,36779882,Ohio,,4-year,Single,"$10,000 - $19,999",Hillary Clinton
2610,36782375,Oklahoma,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
2611,36787832,California,,4-year,Single,"$70,000 - $79,999",Hillary Clinton
2612,36788366,California,,Post-grad,Married,"$250,000 - $349,999",Gary Johnson
2613,36788693,Pennsylvania,,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
2614,36789893,Idaho,,High school graduate,Married,"$40,000 - $49,999",Donald Trump
2615,36791612,Oklahoma,,Post-grad,Married,"$20,000 - $29,999",Hillary Clinton
2616,36797462,Illinois,,Some college,Single,"$40,000 - $49,999",Hillary Clinton
2617,36805817,California,,Some college,Married,"$80,000 - $99,999",Hillary Clinton
2618,36807074,Wisconsin,,High school graduate,Widowed,"$70,000 - $79,999",Donald Trump
2619,36807464,Kentucky,,High school graduate,Married,"$70,000 - $79,999",Donald Trump
2620,36807863,Texas,,High school graduate,Domestic partnership,"$20,000 - $29,999",Hillary Clinton
2621,36810695,Utah,,2-year,Married,Prefer not to say,Donald Trump
2622,36811007,Arizona,,High school graduate,Married,"$200,000 - $249,999",Hillary Clinton
2623,36819884,Pennsylvania,,Some college,Married,Prefer not to say,Donald Trump
2624,36820487,Alaska,,Some college,Single,"$10,000 - $19,999",Hillary Clinton
2625,36822107,Florida,,High school graduate,Married,"$50,000 - $59,999",
2626,36822425,Kansas,,Post-grad,Married,"$50,000 - $59,999",Hillary Clinton
2627,36825494,Pennsylvania,,High school graduate,Married,"$20,000 - $29,999",Hillary Clinton
2628,36826502,New Hampshire,,High school graduate,Married,Prefer not to say,Hillary Clinton
2629,36830546,Alabama,,4-year,Married,"$120,000 - $149,999",Hillary Clinton
2630,36831338,Illinois,,Some college,Divorced,"$30,000 - $39,999",Donald Trump
2631,36834500,California,,4-year,Married,Prefer not to say,Did not vote for President
2632,36836354,Maryland,,No HS,Married,"$20,000 - $29,999",Donald Trump
2633,36838646,Virginia,,Some college,Single,"$30,000 - $39,999",Hillary Clinton
2634,36839024,Mississippi,,Some college,Married,"$50,000 - $59,999",Donald Trump
2635,36841049,Utah,,4-year,Married,Prefer not to say,Donald Trump
2636,36845618,Oregon,,Some college,Married,"$50,000 - $59,999",Donald Trump
2637,36846392,Michigan,,High school graduate,Married,"$50,000 - $59,999",Donald Trump
2638,36846860,Texas,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
2639,36849134,Kansas,,Post-grad,Married,"$80,000 - $99,999",Donald Trump
2640,36849302,Missouri,,Some college,Widowed,"$20,000 - $29,999",Other
2641,36849959,Arizona,,Post-grad,Married,"$80,000 - $99,999",Hillary Clinton
2642,36851834,California,,No HS,Married,"$30,000 - $39,999",Donald Trump
2643,36855101,Arkansas,,4-year,Single,"Less than $10,000",Other
2644,36856127,Texas,,Some college,Domestic partnership,"$10,000 - $19,999",Donald Trump
2645,36858965,Indiana,,High school graduate,Married,"$40,000 - $49,999",Hillary Clinton
2646,36860219,Kansas,,Some college,Married,"$80,000 - $99,999",Donald Trump
2647,36860594,Illinois,,4-year,Single,Prefer not to say,Jill Stein
2648,36863225,Florida,,Some college,Domestic partnership,"$80,000 - $99,999",Donald Trump
2649,36867587,Texas,,Post-grad,Married,"$200,000 - $249,999",Hillary Clinton
2650,36867980,Maryland,,Post-grad,Married,"$100,000 - $119,999",Hillary Clinton
2651,36868772,Texas,,High school graduate,Separated,"$40,000 - $49,999",Donald Trump
2652,36875102,Arkansas,,No HS,Married,"$50,000 - $59,999",Donald Trump
2653,36876044,New Jersey,,Some college,Married,"$50,000 - $59,999",Donald Trump
2654,36876248,Pennsylvania,,High school graduate,Married,"$50,000 - $59,999",Hillary Clinton
2655,36879329,Virginia,,High school graduate,Divorced,"$40,000 - $49,999",
2656,36880892,Pennsylvania,,4-year,Single,"$50,000 - $59,999",Donald Trump
2657,36883100,Maryland,,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
2658,36884123,South Carolina,,High school graduate,Married,"$40,000 - $49,999",Hillary Clinton
2659,36886535,Michigan,,4-year,Married,Prefer not to say,Donald Trump
2660,36886829,Georgia,,Some college,Married,"$70,000 - $79,999",Hillary Clinton
2661,36887135,New York,,High school graduate,Married,"$30,000 - $39,999",Jill Stein
2662,36890315,Wyoming,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
2663,36891668,Nevada,,Post-grad,Divorced,"$40,000 - $49,999",Donald Trump
2664,36894284,Florida,,Some college,Divorced,"$80,000 - $99,999",Donald Trump
2665,36897020,New York,,4-year,Married,Prefer not to say,Hillary Clinton
2666,36897938,Florida,,Some college,Divorced,"$60,000 - $69,999",Hillary Clinton
2667,36897980,Delaware,,Post-grad,Single,"$60,000 - $69,999",Hillary Clinton
2668,36898196,Texas,,Some college,Divorced,"$30,000 - $39,999",Hillary Clinton
2669,36901196,Florida,,High school graduate,Married,"$40,000 - $49,999",Donald Trump
2670,36901919,Illinois,,4-year,Divorced,"$30,000 - $39,999",Hillary Clinton
2671,36905579,Iowa,,Some college,Married,"$20,000 - $29,999",Donald Trump
2672,36906194,Ohio,,High school graduate,Divorced,"$20,000 - $29,999",Hillary Clinton
2673,36910103,Idaho,,Post-grad,Married,"$70,000 - $79,999",Hillary Clinton
2674,36916409,Maryland,,Some college,Married,Prefer not to say,Hillary Clinton
2675,36919196,New York,,High school graduate,Married,"$70,000 - $79,999",Hillary Clinton
2676,36924104,Wisconsin,,2-year,Married,"$10,000 - $19,999",Hillary Clinton
2677,36925193,Utah,,High school graduate,Divorced,"$10,000 - $19,999",Hillary Clinton
2678,36925769,Oregon,,Some college,Married,"$50,000 - $59,999",Other
2679,36925922,Pennsylvania,,Post-grad,Married,"$100,000 - $119,999",Hillary Clinton
2680,36928496,Hawaii,,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
2681,36928772,Hawaii,,Post-grad,Married,"Less than $10,000",Donald Trump
2682,36930287,New Hampshire,,High school graduate,Married,"$60,000 - $69,999",Donald Trump
2683,36932222,South Carolina,,High school graduate,Single,"$20,000 - $29,999",Donald Trump
2684,36933494,California,,Some college,Married,"$40,000 - $49,999",Hillary Clinton
2685,36934019,Vermont,,4-year,Married,"$120,000 - $149,999",Hillary Clinton
2686,36934532,Minnesota,,4-year,Married,"$80,000 - $99,999",Donald Trump
2687,36936587,West Virginia,,4-year,Married,"$70,000 - $79,999",Donald Trump
2688,36940856,Alabama,,4-year,Widowed,"$10,000 - $19,999",Hillary Clinton
2689,36941591,Texas,,High school graduate,Married,"$60,000 - $69,999",Hillary Clinton
2690,36944999,Michigan,,4-year,Married,"$40,000 - $49,999",Hillary Clinton
2691,36948074,Pennsylvania,,Some college,Domestic partnership,"$20,000 - $29,999",Hillary Clinton
2692,36950168,Nevada,,2-year,Married,"$50,000 - $59,999",Donald Trump
2693,36951494,New York,,High school graduate,Divorced,"$20,000 - $29,999",Hillary Clinton
2694,36951650,Indiana,,High school graduate,Married,"$50,000 - $59,999",Hillary Clinton
2695,36953261,Texas,,High school graduate,Divorced,"$10,000 - $19,999",Donald Trump
2696,36955619,Florida,,High school graduate,Married,"$40,000 - $49,999",Donald Trump
2697,36958193,Texas,,2-year,Widowed,"$50,000 - $59,999",
2698,36962747,California,,4-year,Single,"Less than $10,000",Hillary Clinton
2699,36966275,Pennsylvania,,High school graduate,Married,"$20,000 - $29,999",
2700,36966347,Massachusetts,,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
2701,36966461,Maryland,,2-year,Married,"$120,000 - $149,999",Donald Trump
2702,36969581,New York,,Some college,Married,"$120,000 - $149,999",Hillary Clinton
2703,36970715,Ohio,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
2704,36975683,Pennsylvania,,High school graduate,Married,"$40,000 - $49,999",Hillary Clinton
2705,36975902,Connecticut,,High school graduate,Married,"$80,000 - $99,999",Gary Johnson
2706,36976847,California,,High school graduate,Married,Prefer not to say,Donald Trump
2707,36977489,Delaware,,4-year,Married,"$40,000 - $49,999",Hillary Clinton
2708,36978074,Illinois,,2-year,Single,"$80,000 - $99,999",Hillary Clinton
2709,36987143,Hawaii,,4-year,Married,"$40,000 - $49,999",
2710,36997775,Idaho,,2-year,Married,"$70,000 - $79,999",Hillary Clinton
2711,36999071,Washington,,High school graduate,Divorced,"$20,000 - $29,999",Hillary Clinton
2712,37006232,New Hampshire,,Some college,Married,"$120,000 - $149,999",Donald Trump
2713,37033700,Texas,,Some college,Married,"$120,000 - $149,999",
2714,37061606,Tennessee,,Post-grad,Married,"$500,000 or more",Hillary Clinton
2715,37062050,Texas,,Post-grad,Divorced,Prefer not to say,Donald Trump
2716,37079948,New Jersey,,High school graduate,Married,"$60,000 - $69,999",Donald Trump
2717,37093811,Illinois,,4-year,Single,"$50,000 - $59,999",Hillary Clinton
2718,37120880,New York,,4-year,Married,"$70,000 - $79,999",Hillary Clinton
2719,37122743,West Virginia,,4-year,Married,"$80,000 - $99,999",Hillary Clinton
2720,37133162,Ohio,,Post-grad,Married,"$40,000 - $49,999",Hillary Clinton
2721,37133507,California,,4-year,Single,"$10,000 - $19,999",Other
2722,37133561,California,,Some college,Single,"$20,000 - $29,999",Hillary Clinton
2723,37133660,Minnesota,,2-year,Widowed,"$30,000 - $39,999",Hillary Clinton
2724,37135541,Texas,,High school graduate,Widowed,"Less than $10,000",Donald Trump
2725,37138031,Alabama,,2-year,Married,"$60,000 - $69,999",Hillary Clinton
2726,37145918,Georgia,,Post-grad,Married,"$150,000 - $199,999",Donald Trump
2727,37153433,Missouri,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
2728,37156385,Indiana,,Some college,Married,"$20,000 - $29,999",Donald Trump
2729,37163024,Minnesota,,Post-grad,Married,"$100,000 - $119,999",Gary Johnson
2730,37164212,Oklahoma,,4-year,Single,"$50,000 - $59,999",Hillary Clinton
2731,37169846,Kansas,,Post-grad,Married,"$60,000 - $69,999",Hillary Clinton
2732,37172492,Florida,,2-year,Married,"$40,000 - $49,999",Donald Trump
2733,37174637,California,,Some college,Married,"$70,000 - $79,999",Jill Stein
2734,37178186,New York,,High school graduate,Married,"$20,000 - $29,999",
2735,37178948,Florida,,High school graduate,Married,"$60,000 - $69,999",Gary Johnson
2736,37195934,Arizona,,Some college,Married,"$120,000 - $149,999",Hillary Clinton
2737,37213436,Texas,,4-year,Married,Prefer not to say,Hillary Clinton
2738,37232732,Michigan,,High school graduate,Single,"$40,000 - $49,999",Hillary Clinton
2739,37235042,Arizona,,2-year,Married,"$40,000 - $49,999",Donald Trump
2740,37256453,Illinois,,4-year,Married,"$120,000 - $149,999",Donald Trump
2741,37258496,Florida,,Some college,Married,"$20,000 - $29,999",Donald Trump
2742,37297670,North Carolina,,Some college,Married,"$120,000 - $149,999",Donald Trump
2743,37352195,North Carolina,,Some college,Married,Prefer not to say,Donald Trump
2744,37357103,Mississippi,,High school graduate,Married,"$20,000 - $29,999",Donald Trump
2745,37374275,Illinois,,Some college,Widowed,"$70,000 - $79,999",Donald Trump
2746,37380332,Michigan,,Some college,Married,"$100,000 - $119,999",Hillary Clinton
2747,37395131,New York,,High school graduate,Married,Prefer not to say,Donald Trump
2748,37396151,Colorado,,Post-grad,Married,"$100,000 - $119,999",Hillary Clinton
2749,37421459,California,,Post-grad,Married,"$70,000 - $79,999",Hillary Clinton
2750,37445687,Alabama,,Post-grad,Separated,Prefer not to say,Hillary Clinton
2751,37487435,Washington,,2-year,Separated,"$80,000 - $99,999",Donald Trump
2752,37504865,California,,Post-grad,Widowed,"$100,000 - $119,999",Hillary Clinton
2753,37512971,Florida,,4-year,Married,Prefer not to say,Donald Trump
2754,37513583,Ohio,,Some college,Divorced,"$80,000 - $99,999",Donald Trump
2755,37535414,Colorado,,Some college,Married,"$40,000 - $49,999",Hillary Clinton
2756,37550723,California,,4-year,Divorced,"$50,000 - $59,999",Hillary Clinton
2757,37557929,Arizona,,Some college,Married,"$120,000 - $149,999",Hillary Clinton
2758,37591196,California,,4-year,Widowed,"$40,000 - $49,999",Donald Trump
2759,37606673,Florida,,High school graduate,Single,"$50,000 - $59,999",Donald Trump
2760,37638503,Pennsylvania,,Some college,Married,"$20,000 - $29,999",Donald Trump
2761,37658870,New York,,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
2762,37666445,West Virginia,,Some college,Widowed,"$20,000 - $29,999",Donald Trump
2763,37672640,Pennsylvania,,Some college,Married,"$70,000 - $79,999",Donald Trump
2764,37688486,California,,High school graduate,Married,"$120,000 - $149,999",Donald Trump
2765,37749731,Texas,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
2766,37801862,Illinois,,2-year,Divorced,"$60,000 - $69,999",Hillary Clinton
2767,37804439,Delaware,,4-year,Widowed,"$120,000 - $149,999",Hillary Clinton
2768,37816538,Kentucky,,4-year,Married,"$100,000 - $119,999",Donald Trump
2769,37838579,Virginia,,High school graduate,Separated,Prefer not to say,
2770,37865366,Indiana,,4-year,Single,"$30,000 - $39,999",Hillary Clinton
2771,37869776,Illinois,,4-year,Single,"$80,000 - $99,999",Donald Trump
2772,37918913,Nebraska,,4-year,Married,"$50,000 - $59,999",Hillary Clinton
2773,37954598,New Mexico,,4-year,Married,"$60,000 - $69,999",Donald Trump
2774,37959494,North Carolina,,4-year,Married,"$60,000 - $69,999",Gary Johnson
2775,37992425,Michigan,,Some college,Divorced,"$20,000 - $29,999",Donald Trump
2776,38006897,Washington,,Some college,Divorced,"$10,000 - $19,999",Donald Trump
2777,38015828,California,,4-year,Married,"$150,000 - $199,999",Donald Trump
2778,38015870,California,,Post-grad,Single,"$120,000 - $149,999",Donald Trump
2779,38017172,California,,4-year,Single,"$80,000 - $99,999",Hillary Clinton
2780,38036720,New Mexico,,Some college,Married,Prefer not to say,Donald Trump
2781,38037887,Tennessee,,4-year,Married,"$40,000 - $49,999",Donald Trump
2782,38053688,Oklahoma,,2-year,Married,"$40,000 - $49,999",Donald Trump
2783,38067542,Pennsylvania,,Some college,Married,"$60,000 - $69,999",Hillary Clinton
2784,38107118,Florida,,4-year,Widowed,"$80,000 - $99,999",Hillary Clinton
2785,38119625,Arizona,,2-year,Married,"$50,000 - $59,999",Hillary Clinton
2786,38173220,Alabama,,High school graduate,Married,"$40,000 - $49,999",Donald Trump
2787,38212106,Maryland,,High school graduate,Married,"$50,000 - $59,999",Donald Trump
2788,38223563,California,,4-year,Married,"$100,000 - $119,999",Hillary Clinton
2789,38236223,Colorado,,4-year,Divorced,"$100,000 - $119,999",Donald Trump
2790,38246462,Florida,,Post-grad,Married,"$70,000 - $79,999",Donald Trump
2791,38250272,Virginia,,High school graduate,Married,"$40,000 - $49,999",Donald Trump
2792,38281571,California,,4-year,Married,Prefer not to say,Hillary Clinton
2793,38296826,California,,High school graduate,Married,"$50,000 - $59,999",Donald Trump
2794,38313404,New Mexico,,4-year,Married,"$120,000 - $149,999",Donald Trump
2795,38380070,New Jersey,,Post-grad,Married,Prefer not to say,Donald Trump
2796,38400155,New York,,Post-grad,Married,"$100,000 - $119,999",Hillary Clinton
2797,38412143,Maryland,,High school graduate,Married,"$10,000 - $19,999",Hillary Clinton
2798,38429042,California,,High school graduate,Divorced,"$20,000 - $29,999",Hillary Clinton
2799,38455745,New York,,Some college,Single,"$120,000 - $149,999",Hillary Clinton
2800,38478773,New York,,4-year,Married,"$150,000 - $199,999",Hillary Clinton
2801,38507336,Washington,,4-year,Single,"$120,000 - $149,999",Hillary Clinton
2802,38528093,Connecticut,,Some college,Divorced,"$20,000 - $29,999",Hillary Clinton
2803,38532599,Texas,,4-year,Divorced,"$70,000 - $79,999",Donald Trump
2804,38536481,Massachusetts,,No HS,Married,Prefer not to say,Donald Trump
2805,38587196,Ohio,,Post-grad,Married,Prefer not to say,Donald Trump
2806,38589410,Illinois,,High school graduate,Married,"$40,000 - $49,999",Donald Trump
2807,38591339,Arizona,,Post-grad,Married,Prefer not to say,Donald Trump
2808,38601116,New York,,Post-grad,Widowed,"$70,000 - $79,999",Donald Trump
2809,38615027,Ohio,,4-year,Widowed,"$20,000 - $29,999",Donald Trump
2810,38635439,Ohio,,Post-grad,Single,"$40,000 - $49,999",Hillary Clinton
2811,38641289,Arizona,,2-year,Married,"$120,000 - $149,999",Donald Trump
2812,38671085,Indiana,,2-year,Married,"$80,000 - $99,999",Donald Trump
2813,38676911,Pennsylvania,,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
2814,38678771,Maryland,,High school graduate,Married,Prefer not to say,Hillary Clinton
2815,38693513,Ohio,,Some college,Single,"$200,000 - $249,999",
2816,38711192,Illinois,,4-year,Married,Prefer not to say,Donald Trump
2817,38711630,Washington,,2-year,Married,"$60,000 - $69,999",Donald Trump
2818,38722259,New York,,4-year,Married,"$50,000 - $59,999",Hillary Clinton
2819,38735936,Georgia,,Some college,Married,"$40,000 - $49,999",Donald Trump
2820,38776253,New York,,High school graduate,Married,Prefer not to say,Donald Trump
2821,38805623,New Jersey,,Some college,Single,"$50,000 - $59,999",Gary Johnson
2822,38835011,Texas,,Some college,Divorced,"$70,000 - $79,999",Other
2823,38836811,Missouri,,High school graduate,Single,"$10,000 - $19,999",Hillary Clinton
2824,38847818,Pennsylvania,,Some college,Married,"$100,000 - $119,999",Donald Trump
2825,38859512,California,,4-year,Divorced,"$40,000 - $49,999",Donald Trump
2826,38861321,California,,4-year,Widowed,"$50,000 - $59,999",Donald Trump
2827,38891321,Wyoming,,Post-grad,Divorced,"$100,000 - $119,999",Donald Trump
2828,38905454,Washington,,High school graduate,Married,"$40,000 - $49,999",Donald Trump
2829,38909387,Maryland,,High school graduate,Married,"$40,000 - $49,999",Donald Trump
2830,38940899,Illinois,,4-year,Divorced,"$20,000 - $29,999",Donald Trump
2831,38958191,Georgia,,Post-grad,Divorced,"$50,000 - $59,999",Hillary Clinton
2832,38960846,Michigan,,4-year,Single,"$20,000 - $29,999",Hillary Clinton
2833,38968406,Arizona,,High school graduate,Married,"$80,000 - $99,999",Donald Trump
2834,38974301,Missouri,,2-year,Married,"$100,000 - $119,999",Donald Trump
