,case_identifier,inputstate_2016,healthcov2_2,educ_2016,marstat_2016,faminc_2016,presvote16post_2016
81,6095753,North Carolina,,Some college,Married,"$40,000 - $49,999",Donald Trump
82,6095852,Iowa,,Some college,Married,"$60,000 - $69,999",Hillary Clinton
83,6098411,Florida,,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
84,6100238,North Carolina,,Post-grad,Divorced,"$150,000 - $199,999",Hillary Clinton
85,6100907,New York,,Post-grad,Single,"$70,000 - $79,999",Donald Trump
86,6106253,Pennsylvania,,High school graduate,Married,"$100,000 - $119,999",Donald Trump
87,6108272,New York,,Post-grad,Single,"$70,000 - $79,999",Hillary Clinton
88,6109619,New York,,High school graduate,Married,"$60,000 - $69,999",Hillary Clinton
89,6110054,Massachusetts,,4-year,Married,Prefer not to say,Other
90,6110435,Virginia,,4-year,Married,"$150,000 - $199,999",Hillary Clinton
91,6110906,Indiana,,Post-grad,Married,"$70,000 - $79,999",Donald Trump
92,6111152,Indiana,,Some college,Divorced,"$20,000 - $29,999",Donald Trump
93,6112508,California,,Post-grad,Widowed,"$80,000 - $99,999",Hillary Clinton
94,6114890,Maine,,4-year,Married,"$100,000 - $119,999",Donald Trump
95,6116483,Nevada,,Post-grad,Married,"$120,000 - $149,999",Donald Trump
96,6116600,Arizona,,Some college,Married,"$120,000 - $149,999",Hillary Clinton
97,6116972,Maryland,,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
98,6117203,Oregon,,Post-grad,Married,"$40,000 - $49,999",Hillary Clinton
99,6117347,Alabama,,4-year,Divorced,"$70,000 - $79,999",Jill Stein
100,6120266,California,,Post-grad,Single,"$70,000 - $79,999",Hillary Clinton
101,6124499,Florida,,4-year,Single,"$350,000 - $499,999",Hillary Clinton
102,6125228,West Virginia,,Some college,Single,Prefer not to say,Hillary Clinton
103,6126617,Massachusetts,,High school graduate,Widowed,"$30,000 - $39,999",Donald Trump
104,6128693,Minnesota,,Post-grad,Single,"$40,000 - $49,999",Evan McMullin
105,6129137,Arizona,,4-year,Married,"$50,000 - $59,999",Donald Trump
106,6135863,Delaware,,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
107,6137867,Florida,,No HS,Single,"$30,000 - $39,999",
108,6137984,Utah,,Some college,Divorced,Prefer not to say,Hillary Clinton
109,6139919,Maryland,,4-year,Married,"$120,000 - $149,999",Donald Trump
110,6141527,Arizona,,Post-grad,Married,"$200,000 - $249,999",Hillary Clinton
111,6142478,Wisconsin,,4-year,Married,"$50,000 - $59,999",Hillary Clinton
112,6143861,Mississippi,,Some college,Married,"$70,000 - $79,999",Hillary Clinton
113,6152906,Florida,,Some college,Divorced,Prefer not to say,Hillary Clinton
114,6153587,Michigan,,2-year,Divorced,Prefer not to say,Donald Trump
115,6163991,New Jersey,,4-year,Domestic partnership,"$80,000 - $99,999",Donald Trump
116,6165803,Tennessee,,High school graduate,Divorced,Prefer not to say,Donald Trump
117,6166322,Georgia,,Some college,Married,"$120,000 - $149,999",Gary Johnson
118,6166706,Wisconsin,,Some college,Married,"$30,000 - $39,999",Other
119,6166907,Connecticut,,Post-grad,Married,"$150,000 or more",Hillary Clinton
120,6167690,Utah,,Some college,Married,"$40,000 - $49,999",Gary Johnson
121,6167720,California,,Some college,Divorced,"$150,000 - $199,999",Hillary Clinton
